parcel_id,khasra_no,khata_no,village,village_hi,tehsil,tehsil_hi,district,district_hi,owner_name,owner_name_hi,father_name,father_name_hi,area_hectares,area_acres,area_bigha,area_sqm,land_type,soil_type,irrigation_source,market_value_per_ha,circle_rate,last_mutation_date,mutation_status,encumbrance_status,litigation_status,tribal_sensitive,forest_distance_km,highway_distance_km,data_source,wkt_geometry,centroid_lat,centroid_lng,min_lat,min_lng,max_lat,max_lng,is_pilot
CG-RAI-0001,100/1,KH-100,Raipur_Village_A,ग्राम अ,Raipur Khas,रायपुर खास,Raipur,रायपुर,Rajesh Verma,राजेश वर्मा,Late Bhupendra Verma,स्व. भूपेंद्र वर्मा,4.5,11.12,17.78,45000.0,IRRIGATED,Matasi (Yellow Clay Soil),Mahanadi Canal Network,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,No dispute,1,2.5,1.2,synthetic_voronoi,"POLYGON((81.614534 21.230000, 81.610000 21.230000, 81.610000 21.233267, 81.613499 21.234677, 81.613945 21.234420, 81.614534 21.230000))",21.231998,81.612246,21.23,81.61,21.234677,81.614534,0
CG-RAI-0002,105/2,KH-101,Raipur_Village_B,ग्राम ब,Raipur Khas,रायपुर खास,Raipur,रायपुर,Phoolchand Chandrakar,फूलचंद चंद्राकर,Late Ghanshyam Chandrakar,स्व. घनश्याम चंद्राकर,4.5,11.12,17.78,45000.0,RAIN_FED,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,SDM Court Stay Order,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.610000 21.238153, 81.612747 21.237688, 81.613499 21.234677, 81.610000 21.233267, 81.610000 21.238153))",21.235832,81.611457,21.233267,81.61,21.238153,81.613499,0
CG-RAI-0003,110/3,KH-102,Semra,सेमरा,Raipur Khas,रायपुर खास,Raipur,रायपुर,Suresh Sahu,सुरेश साहू,Late Rameshwar Sahu,स्व. रामेश्वर साहू,4.5,11.12,17.78,45000.0,BANJAR,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Pending Boundary Case,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.610000 21.238153, 81.610000 21.242447, 81.613814 21.241227, 81.614129 21.238952, 81.612747 21.237688, 81.610000 21.238153))",21.239916,81.611851,21.237688,81.61,21.242447,81.614129,1
CG-RAI-0004,115/1,KH-103,Bhanpuri,भानपुरी,Raipur Khas,रायपुर खास,Raipur,रायपुर,Anita Patel,अनीता पटेल,Gopal Patel,गोपाल पटेल,4.5,11.12,17.78,45000.0,FOREST,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Disposed Appeal,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.615399 21.243018, 81.613814 21.241227, 81.610000 21.242447, 81.610000 21.245130, 81.614231 21.245712, 81.615399 21.243018))",21.243581,81.612597,21.241227,81.61,21.245712,81.615399,1
CG-RAI-0005,120/2,KH-104,Raipur_Village_A,ग्राम अ,Raipur Khas,रायपुर खास,Raipur,रायपुर,Devendra Kashyap,देवेंद्र कश्यप,Late Ramesh Kashyap,स्व. रमेश कश्यप,4.5,11.12,17.78,45000.0,RESIDENTIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,No dispute,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.614231 21.245712, 81.610000 21.245130, 81.610000 21.249353, 81.613484 21.249699, 81.614333 21.245879, 81.614231 21.245712))",21.2474,81.611958,21.24513,81.61,21.249699,81.614333,0
CG-RAI-0006,125/3,KH-105,Raipur_Village_B,ग्राम ब,Raipur Khas,रायपुर खास,Raipur,रायपुर,Bhupendra Kanwar,भूपेंद्र कंवर,Late Ramesh Kanwar,स्व. रमेश कंवर,4.5,11.12,17.78,45000.0,COMMERCIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,SDM Court Stay Order,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.613556 21.249779, 81.613484 21.249699, 81.610000 21.249353, 81.610000 21.253619, 81.613649 21.253300, 81.613556 21.249779))",21.251504,81.611749,21.249353,81.61,21.253619,81.613649,0
CG-RAI-0007,130/1,KH-106,Semra,सेमरा,Raipur Khas,रायपुर खास,Raipur,रायपुर,Chaitanya Yadav,चैतन्य यादव,Late Rajesh Yadav,स्व. राजेश यादव,4.5,11.12,17.78,45000.0,IRRIGATED,Matasi (Yellow Clay Soil),Mahanadi Canal Network,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Pending Boundary Case,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.613885 21.253465, 81.613649 21.253300, 81.610000 21.253619, 81.610000 21.257025, 81.613644 21.257443, 81.613885 21.253465))",21.255326,81.611946,21.2533,81.61,21.257443,81.613885,1
CG-RAI-0008,135/2,KH-107,Bhanpuri,भानपुरी,Raipur Khas,रायपुर खास,Raipur,रायपुर,Budhram Mandavi,बुधराम मंडावी,Sukhlal Mandavi,सुखलाल मंडावी,4.5,11.12,17.78,45000.0,RAIN_FED,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Disposed Appeal,1,2.5,1.2,synthetic_voronoi,"POLYGON((81.614387 21.258146, 81.613644 21.257443, 81.610000 21.257025, 81.610000 21.262041, 81.612646 21.261483, 81.614387 21.258146))",21.259327,81.611763,21.257025,81.61,21.262041,81.614387,1
CG-RAI-0009,140/3,KH-108,Raipur_Village_A,ग्राम अ,Raipur Khas,रायपुर खास,Raipur,रायपुर,Kamla Agrawal,कमला अग्रवाल,Murarilal Agrawal,मुरारीलाल अग्रवाल,4.5,11.12,17.78,45000.0,BANJAR,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,No dispute,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.610000 21.265641, 81.613654 21.266482, 81.613804 21.266344, 81.614606 21.262734, 81.612646 21.261483, 81.610000 21.262041, 81.610000 21.265641))",21.26392,81.612165,21.261483,81.61,21.266482,81.614606,0
CG-RAI-0010,145/1,KH-109,Raipur_Village_B,ग्राम ब,Raipur Khas,रायपुर खास,Raipur,रायपुर,Lokesh Netam,लोकेश नेताम,Mangal Netam,मंगल नेताम,4.5,11.12,17.78,45000.0,FOREST,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,SDM Court Stay Order,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.610000 21.265641, 81.610000 21.270000, 81.614531 21.270000, 81.613654 21.266482, 81.610000 21.265641))",21.268101,81.611973,21.265641,81.61,21.27,81.614531,0
